date,price,type,bedrooms
2011-09-30,594000,house,4
2011-09-30,662500,house,2
2011-10-01,455000,house,4
2011-10-02,390000,house,3
2011-10-03,332000,house,3
2011-10-03,380000,house,3
2011-10-03,405000,house,4
2011-10-03,460000,house,4
2011-10-07,355000,house,3
2011-10-07,473000,house,4
2011-10-07,560000,house,4
2011-10-08,347000,house,3
2011-10-08,359950,house,3
2011-10-08,1030000,house,3
2011-10-09,338500,house,3
2011-10-10,378000,house,3
2011-10-10,400000,house,4
2011-10-10,453000,house,4
2011-10-10,476600,house,4
2011-10-10,677500,house,4
2011-10-10,749950,house,4
2011-10-12,390000,house,3
2011-10-13,435000,house,3
2011-10-13,507500,house,4
2011-10-14,350000,house,3
2011-10-14,399000,house,3
2011-10-14,420000,house,4
2011-10-14,450000,house,3
2011-10-14,525000,house,2
2011-10-14,595000,house,4
2011-10-14,910000,house,3
2011-10-15,395000,house,3
2011-10-15,552500,house,3
2011-10-16,375000,house,3
2011-10-16,440000,house,3
2011-10-17,352000,house,3
2011-10-17,495000,house,4
2011-10-17,530000,house,4
2011-10-17,690000,house,3
2011-10-18,342000,house,2
2011-10-18,420000,house,3
2011-10-18,575000,house,3
2011-10-18,612000,house,4
2011-10-20,349000,house,3
2011-10-20,350000,house,3
2011-10-20,480000,house,4
2011-10-21,342000,house,3
2011-10-21,372500,house,4
2011-10-21,375000,house,3
2011-10-21,408000,house,4
2011-10-21,515000,house,4
2011-10-22,370000,house,3
2011-10-22,657500,house,4
2011-10-23,340000,house,3
2011-10-23,369000,house,3
2011-10-23,419950,house,3
2011-10-23,455000,house,3
2011-10-23,495000,house,4
2011-10-23,765000,house,4
2011-10-24,361000,house,3
2011-10-24,425000,house,3
2011-10-24,498600,house,4
2011-10-24,570000,house,4
2011-10-27,330250,house,3
2011-10-27,337000,house,3
2011-10-27,360000,house,3
2011-10-27,440000,house,3
2011-10-27,475000,house,4
2011-10-27,510000,house,4
2011-10-27,1120000,house,4
2011-10-28,340000,house,2
2011-10-28,676000,house,4
2011-10-29,420000,house,4
2011-10-30,585000,house,4
2011-10-30,720000,house,5
2011-10-31,372000,house,3
2011-10-31,395000,house,3
2011-10-31,544000,house,4
2011-10-31,581650,house,4
2011-10-31,800000,house,3
2011-11-03,330000,house,3
2011-11-03,330000,house,3
2011-11-03,350000,house,3
2011-11-03,360000,house,3
2011-11-03,424000,house,4
2011-11-03,583000,house,4
2011-11-05,359950,house,3
2011-11-05,425000,house,3
2011-11-05,475000,house,3
2011-11-05,477500,house,4
2011-11-05,1425000,house,3
2011-11-06,345000,house,2
2011-11-06,485000,house,3
2011-11-06,557500,house,4
2011-11-07,360000,house,3
2011-11-07,395000,house,4
2011-11-07,415000,house,4
2011-11-07,435000,house,3
2011-11-07,522000,house,4
2011-11-07,757500,house,3
2011-11-10,357000,house,3
2011-11-10,542000,house,5
2011-11-10,567000,house,4
2011-11-10,623700,house,5
2011-11-10,702500,house,4
2011-11-11,324000,house,3
2011-11-11,351000,house,3
2011-11-11,449000,house,3
2011-11-11,515000,house,4
2011-11-12,342500,house,3
2011-11-12,400000,house,3
2011-11-12,462000,house,3
2011-11-13,375000,house,3
2011-11-14,385000,house,3
2011-11-15,380000,house,3
2011-11-15,418000,house,3
